"Date","AutoMinutes","AutoAdjustedMinutes","ManualMinutes","FinalMinutes","FinalHhMm","Events"
"2026-02-05","0","0","0","0","00:00","1"
"2026-02-08","131","131","0","131","02:11","28"
"2026-02-09","0,1","30","0","30","00:30","2"
"2026-02-11","50","50","0","50","00:50","8"
"2026-02-12","176,3","176,3","1020","1020","17:00","36"
"2026-02-13","0,1","30","60","60","01:00","2"
"2026-02-14","12,1","30","0","30","00:30","3"
"2026-02-15","0,1","30","0","30","00:30","2"
"2026-02-16","25,7","30","30","30","00:30","4"
"2026-02-17","330","330","0","330","05:30","79"
"2026-02-18","12,1","30","0","30","00:30","10"
"2026-02-19","114,2","114,2","0","114,2","01:54","46"
